target,is_white,material_diff,rating_diff,mobility_count,king_moved,open_Center Game,open_Kings Pawn Opening 1...e5,open_Kings Pawn Opening Kings Knight Variation,open_Other,open_Scandinavian Defense,open_Scandinavian Defense Mieses Kotrc Variation 3.Nc3,open_Scotch Game
0,0.0,0.0,-39,34.0,1.0,False,True,False,False,False,False,False
0,1.0,-17.0,-13,21.0,1.0,False,False,False,True,False,False,False
1,1.0,-4.0,27,30.0,1.0,False,False,False,True,False,False,False
0,1.0,-7.0,-27,34.0,1.0,False,False,False,True,False,False,False
1,0.0,1.0,16,48.0,1.0,False,False,False,True,False,False,False
0,0.0,1.0,-30,47.0,1.0,False,False,False,True,False,False,False
1,1.0,-2.0,28,30.0,1.0,False,False,False,True,False,False,False
1,0.0,2.0,15,38.0,1.0,False,False,False,True,False,False,False
1,0.0,-1.0,22,40.0,1.0,False,False,False,True,False,False,False
0,0.0,-10.0,-124,20.0,1.0,False,False,False,True,False,False,False
0,1.0,-5.0,-30,28.0,1.0,False,False,False,True,False,False,False
0,1.0,-2.0,5,31.0,1.0,False,False,False,True,False,False,False
1,1.0,2.0,32,1.0,1.0,False,False,False,True,False,False,False
0,0.0,3.0,-28,32.0,1.0,False,False,False,True,False,False,False
1,1.0,4.0,13,33.0,1.0,False,False,False,True,False,False,False
0,0.0,-3.0,-27,31.0,1.0,False,False,False,True,False,False,False
1,1.0,2.0,20,48.0,1.0,False,False,False,True,False,False,False
1,0.0,9.0,25,29.0,1.0,False,False,False,True,False,False,False
1,1.0,4.0,50,34.0,1.0,False,False,False,True,False,False,False
0,1.0,-1.0,-36,33.0,1.0,False,False,False,True,False,False,False
0,1.0,-6.0,-48,38.0,1.0,False,False,False,True,False,False,False
1,0.0,-6.0,9,34.0,1.0,False,False,False,True,False,False,False
0,0.0,-1.0,-20,40.0,1.0,False,False,False,True,False,False,False
0,0.0,-2.0,-38,40.0,1.0,False,False,False,True,False,False,False
0,1.0,-2.0,1,46.0,1.0,False,False,False,True,False,False,False
0,0.0,-6.0,-18,36.0,1.0,False,False,False,True,False,False,False
1,1.0,-2.0,48,44.0,1.0,False,False,False,True,False,False,False
1,0.0,0.0,8,27.0,1.0,False,False,False,True,False,False,False
1,1.0,10.0,121,62.0,1.0,False,False,False,True,False,False,False
1,0.0,-1.0,9,30.0,1.0,False,False,False,True,False,False,False
